rownum,sno,CUI1,CUI2
283,3,C1188876,C3411893
284,4,C2239735,C3731222
285,5,C0369197,C1925741
286,6,C3429826,C3539170
287,7,C0105247,C0600499
288,8,C0303881,C4011602
289,9,C0937002,C2814004
290,10,C0486661,C0606529
291,11,C1063283,C2352142
292,12,C1439627,C2821421
293,13,C3398473,C3989254
294,14,C3177462,C3656556
295,15,C3245217,C3384351
296,16,C0289340,C2524181
297,17,C0925989,C3161167
298,18,C0158868,C3467959
299,19,C2623648,C4003357
300,20,C2646075,C3897379
301,21,C0447606,C1543313
302,22,C3065398,C3792646
303,23,C0735424,C4018029
304,24,C1055281,C1437079
305,25,C2550372,C3926413
306,26,C0363920,C3099423
307,27,C1515461,C2816564
308,28,C0806286,C2970661
309,29,C0890266,C3245040
310,30,C0810296,C1336890
311,31,C2690119,C3093301
312,32,C1413247,C1837061
313,33,C1557921,C3692514
314,34,C1223851,C3152706
315,35,C2272549,C2388118
316,36,C3078206,C3237181
317,37,C0639662,C1461895
318,38,C0833307,C3450887
319,39,C1624754,C2619279
320,40,C2756725,C3735039
321,41,C0504358,C1744412
322,42,C1288353,C1544317
323,43,C0908118,C3119301
324,44,C1648560,C2500488
325,45,C3243793,C3339033
326,46,C0106316,C0483192
327,47,C1937241,C2985552
328,48,C1207138,C1633892
329,49,C0344221,C0734192
330,50,C1631760,C2760327
331,51,C3450455,C3458089
332,52,C0205661,C3230446
333,53,C2296434,C3979505
334,54,C1517166,C1985938
335,55,C0207039,C3476008
336,56,C1013702,C2763263
337,57,C0945838,C3934477
338,58,C1239322,C3577128
339,59,C1456454,C2753822
340,60,C2631815,C4000440
341,61,C2614065,C3361188
342,62,C1232146,C3008023
343,63,C0053418,C3003602
344,64,C0178296,C1646954
345,65,C0922446,C3262839
346,66,C1916604,C4015992
347,67,C2808664,C3989378
348,68,C0176681,C3623656
349,69,C1873053,C3722673
350,0,C0375768,C2281845
351,1,C1972879,C4044490
352,2,C1904588,C3021097
353,3,C1871249,C3884640
354,4,C1862008,C3562621
355,5,C1842933,C3845196
356,6,C1869354,C2598517
357,7,C1184357,C3013552
358,8,C0507823,C1660359
359,9,C0835411,C1036541
360,10,C1663412,C1870238
361,11,C3636444,C3902665
362,12,C3587658,C3815101
363,13,C2754996,C3550163
364,14,C1852612,C2765897
365,15,C2624233,C2699962
366,16,C2558409,C3064565
367,17,C1475861,C2286712
368,18,C0930784,C2439546
369,19,C3101045,C3272982
370,20,C0024553,C3987739
371,21,C1151945,C2291164
372,22,C2687264,C3893156
373,23,C2539300,C3712403
374,24,C0262307,C3657266
375,25,C2352389,C2755537
376,26,C0599248,C2619237
377,27,C1986743,C2776509
378,28,C0833399,C3972600
379,29,C1035084,C3821154
380,30,C0531013,C1189117
381,31,C1992297,C3104248
382,32,C1382698,C1586121
383,33,C1471004,C1666906
384,34,C0937129,C0953923
385,35,C0033715,C2765619
386,36,C0652482,C3363217
387,37,C2690671,C3503443
388,38,C1922483,C2701229
389,39,C1467891,C1646984
390,40,C0159294,C3548787
391,41,C1543330,C2531916
392,42,C0112720,C2826264
393,43,C0761991,C2698092
394,44,C3258119,C3387505
395,45,C0206417,C1618312
396,46,C0254648,C3593927
397,47,C3439868,C3946020
398,48,C3597275,C4021791
399,49,C1974585,C3982605
400,50,C2463824,C2650454
401,51,C1053651,C1543522
402,52,C1500904,C3907633
403,53,C2815318,C3126038
404,54,C0330161,C3214983
405,55,C0710965,C3425579
406,56,C0504655,C0943265
407,57,C1669449,C3713061
408,58,C2433819,C3260784
409,59,C2560955,C3617576
410,60,C1575203,C3425299
411,61,C1265660,C2295411
412,62,C0597261,C1053548
413,63,C0731960,C1859506
414,64,C0883372,C2384660
415,65,C1201691,C3775949
416,66,C0933661,C1600143
417,67,C2574116,C2700228
418,68,C1814315,C2661319
419,69,C3957118,C4037785
420,0,C0945139,C0956611
421,1,C1196527,C1943179
422,2,C1000833,C2676666
423,3,C2755690,C3426104
424,4,C1236999,C3765997
425,5,C1865942,C3552821
426,6,C0527999,C3410217
427,7,C1836817,C2754618
428,8,C1870631,C2943072
429,9,C0589114,C1936121
430,10,C1421719,C3420968
431,11,C2817702,C3237740
432,12,C1126663,C3247286
433,13,C1868346,C3553084
434,14,C1459146,C2760059
435,15,C3378889,C3724321
436,16,C2486502,C3823895
437,17,C0046226,C0597522
438,18,C0043901,C1846868
439,19,C0331323,C0927826
440,20,C2249710,C3249783
441,21,C1846386,C2706784
442,22,C0238332,C3545936
443,23,C0644079,C3843276
444,24,C3010195,C3325272
445,25,C1537436,C1838904
446,26,C1957537,C2520980
447,27,C1196627,C1238495
448,28,C2517326,C3600294
449,29,C0752900,C2656279
450,30,C0927986,C1531294
451,31,C1223795,C3775432
452,32,C2946231,C2992019
453,33,C1152372,C3895870
454,34,C0591364,C0802084
455,35,C1592736,C1639569
456,36,C2445821,C3111908
457,37,C2421432,C4006419
458,38,C1896842,C2476144
459,39,C1936974,C1986173
460,40,C1649155,C2700069
461,41,C1744318,C2821489
462,42,C0965782,C3711187
463,43,C2313593,C3800268
464,44,C1921338,C3604801
465,45,C0679597,C3161296
466,46,C2752640,C3971475
467,47,C0833532,C1744537
468,48,C0682365,C3135592
469,49,C2336925,C2626918
470,50,C1179375,C3071721
471,51,C0223246,C2635825
472,52,C1636017,C2440357
473,53,C2344016,C2542469
474,54,C1212361,C3979531
475,55,C1215629,C2513104
476,56,C0735653,C1975627
477,57,C2923329,C3908339
478,58,C0050645,C2513959
479,59,C0023440,C3631654
480,60,C0929021,C1855282
481,61,C1556388,C2536725
482,62,C1068006,C2482546
483,63,C0183257,C0732378
484,64,C0045829,C2734970
485,65,C1843372,C3995378
486,66,C3330455,C3570876
487,67,C0215568,C1356376
488,68,C0481991,C2372265
489,69,C0026703,C3766937
490,0,C1209733,C3055369
491,1,C2287990,C3384263
492,2,C0878716,C3545280
493,3,C0245012,C2675085
494,4,C0722058,C3484793
495,5,C3437644,C3968534
496,6,C0834929,C1703176
497,7,C3447370,C3773290
498,8,C2996018,C3666191
499,9,C1307210,C3037767
500,10,C2603990,C3176542
501,11,C0865672,C3016579
502,12,C1915377,C4023210
503,13,C2462994,C3924126
504,14,C0736148,C1194952
505,15,C1184238,C2372333
506,16,C2627995,C3638622
507,17,C2438238,C3177204
508,18,C3092328,C3626829
509,19,C0045391,C0764390
510,20,C3322886,C3635485
511,21,C0390300,C1572959
512,22,C0934978,C1668634
513,23,C1176299,C2484862
514,24,C2565407,C3076320
515,25,C1098658,C1230144
516,26,C2623333,C3329778
517,27,C2360448,C2781232
518,28,C1284636,C3122714
519,29,C1467060,C2375819
520,30,C1677399,C3121896
521,31,C1977330,C3504938
522,32,C1323432,C2269916
523,33,C1974463,C2981392
524,34,C0006339,C1831061
525,35,C2448136,C3920611
526,36,C1835804,C3613839
527,37,C2268333,C4011903
528,38,C0124192,C2452590
529,39,C1895967,C1925895
530,40,C0344523,C2393033
531,41,C0486978,C3084768
532,42,C1234202,C1847518
533,43,C1504909,C3565264
534,44,C1566201,C4003176
535,45,C1158680,C2463086
536,46,C1974906,C2742421
537,47,C0456483,C2551461
538,48,C2352823,C3150602
539,49,C1180874,C3795421
540,50,C1881063,C2567659
541,51,C1886759,C3656555
542,52,C1460748,C3724850
543,53,C1087445,C1218359
544,54,C0241321,C2682138
545,55,C1167247,C2471543
546,56,C0384601,C1128439
547,57,C0739379,C2357448
548,58,C2682019,C4033811
549,59,C0221909,C3109189
550,60,C0817918,C1129002
551,61,C0378244,C1892779
552,62,C2982824,C3801327
553,63,C1068950,C1218509
554,64,C1120355,C2363939
555,65,C0606926,C2289890
556,66,C2549844,C2735520
557,67,C3382951,C3751859
558,68,C3505811,C3543796
559,69,C1067450,C2342876
560,0,C1945941,C3978536
561,1,C0657005,C0796100
562,2,C0457756,C0881278
563,3,C2408610,C3616238
564,4,C2515477,C3107125
565,5,C1429992,C3909319
566,6,C1148017,C3849873
567,7,C2619139,C3280331
568,8,C1836578,C3217585
569,9,C2286646,C3029742
570,10,C3053459,C3162944
571,11,C2543111,C2765823
572,12,C2920779,C3060637
573,13,C0721744,C1073606
574,14,C0889697,C3612977
575,15,C3216912,C3330469
576,16,C1454089,C3228356
577,17,C0700792,C2804510
578,18,C2284847,C2664194
579,19,C1968136,C2624978
580,20,C1060102,C3929812
581,21,C2989760,C3391968
582,22,C3238295,C3789253
583,23,C0731750,C3929108
584,24,C2796921,C3621152
585,25,C0175377,C2475238
586,26,C0824720,C2571493
587,27,C1682850,C1921787
588,28,C0827443,C1586365
589,29,C0428374,C3113646
590,30,C1175265,C3938358
591,31,C3272511,C3563896
592,32,C3565837,C3642302
593,33,C3063578,C3243273
594,34,C1932055,C3843430
595,35,C1084778,C3090950
596,36,C1184937,C1894216
597,37,C1703316,C1995612
598,38,C0932195,C2681643
599,39,C2287866,C3415633
600,40,C3153957,C3435097
601,41,C3097428,C3952019
602,42,C3542031,C3562460
603,43,C0149751,C3715922
604,44,C0966260,C1441849
605,45,C0783302,C1609228
606,46,C1086866,C1470270
607,47,C0769846,C2996544
608,48,C2269187,C2652362
609,49,C3275743,C4036199
610,50,C2646331,C3955931
611,51,C1904630,C3064510
612,52,C3066612,C3715136
613,53,C1038493,C2821312
614,54,C1916771,C2311487
615,55,C0065964,C0152217
616,56,C1498879,C3944592
617,57,C2332261,C2625538
618,58,C1627399,C2354835
619,59,C0329151,C1832218
620,60,C2530307,C2962412
621,61,C1330969,C2363047
622,62,C2499286,C3800076
623,63,C2291231,C3345297
624,64,C1311986,C3797685
625,65,C1659889,C3497382
626,66,C0574067,C3764282
627,67,C0085165,C3972692
628,68,C2952067,C3372865
629,69,C3363917,C3421419
630,0,C0967005,C1865369
631,1,C0797102,C0991855
632,2,C1862329,C3954566
633,3,C1489756,C3591976
634,4,C1023915,C2829299
635,5,C0881320,C1225968
636,6,C1202691,C2947970
637,7,C0378173,C3789597
638,8,C0969640,C2970608
639,9,C0981345,C1153356
640,10,C0141120,C2376559
641,11,C3783458,C3947543
642,12,C3159461,C3905632
643,13,C1827301,C3097516
644,14,C2641133,C3121153
645,15,C3094617,C3544519
646,16,C0973762,C4015437
647,17,C3803706,C4045482
648,18,C0586806,C2667947
649,19,C0821126,C3885191
650,20,C2398313,C3063727
651,21,C0103076,C1434262
652,22,C0824167,C1599771
653,23,C0828403,C2286208
654,24,C0161368,C0259196
655,25,C2266897,C3273156
656,26,C0278262,C1841828
657,27,C3569247,C3842110
658,28,C1023769,C2761830
659,29,C3437876,C3818605
660,30,C0171200,C0322616
661,31,C1438581,C2683367
662,32,C1011263,C2933806
663,33,C0365743,C0650565
664,34,C1627320,C3156294
665,35,C1555747,C3407274
666,36,C0158803,C2745483
667,37,C0965692,C0998981
668,38,C3058918,C3574781
669,39,C3252171,C4042136
670,40,C3561385,C3564762
671,41,C0043119,C2613439
672,42,C0598293,C2658420
673,43,C2481307,C2996796
674,44,C2930178,C3607957
675,45,C0244871,C0282065
676,46,C2137050,C3420629
677,47,C1716771,C2373869
678,48,C0156768,C3655144
679,49,C2803711,C3762215
680,50,C2287142,C3554600
681,51,C0798937,C1488381
682,52,C0047922,C0163095
683,53,C1194273,C1638468
684,54,C0448938,C0688372
685,55,C0763323,C1923266
686,56,C0701639,C1311097
687,57,C1001519,C1063299
688,58,C3097683,C3803591
689,59,C1153877,C3980864
690,60,C0129945,C3207309
691,61,C2329168,C3719907
692,62,C3349666,C3922624
693,63,C0299372,C1856199
694,64,C1185546,C3991238
695,65,C1015875,C2610822
696,66,C2525564,C3253075
697,67,C0048532,C1907058
698,68,C0487259,C3395049
699,69,C2464927,C2621003
700,0,C3053587,C4024067
701,1,C2625691,C2828769
702,2,C1936445,C2372506
703,3,C1894897,C2340257
704,4,C2411742,C2684740
705,5,C1663069,C3488026
706,6,C1185750,C3700134
707,7,C1557732,C2383124
708,8,C1845764,C3574162
709,9,C1474042,C2348596
710,10,C1974977,C1986559
711,11,C0456377,C3722517
712,12,C1332002,C2933204
713,13,C1045600,C3064660
714,14,C3499612,C3627108
715,15,C1671226,C2619607
716,16,C2277731,C2707694
717,17,C1077357,C3321146
718,18,C1031587,C3013610
719,19,C0670659,C3726730
720,20,C1021260,C4045268
721,21,C3464126,C4005505
722,22,C0280336,C3805601
723,23,C0916009,C2747314
724,24,C2484641,C3765477
725,25,C0738755,C3692150
726,26,C1091812,C2433179
727,27,C1115629,C1858076
728,28,C3406661,C3923709
729,29,C1536362,C3367551
730,30,C0993658,C2431758
731,31,C1206123,C1371721
732,32,C1916784,C3599035
733,33,C0184061,C1638081
734,34,C3053394,C3476547
735,35,C0282206,C3887589
736,36,C0796452,C1674161
737,37,C1574147,C2944412
738,38,C0056513,C3465805
739,39,C2563120,C3740564
740,40,C3606989,C3995036
741,41,C0392685,C0825063
742,42,C0293503,C3572239
743,43,C1545530,C4003262
744,44,C1939989,C2282713
745,45,C2431830,C3793727
746,46,C2953147,C3132843
747,47,C0608280,C1976901
748,48,C3718603,C3828218
749,49,C2337905,C3947480
750,50,C2529852,C2756064
751,51,C1906615,C3277248
752,52,C0815062,C3827951
753,53,C2813385,C3426906
754,54,C2136056,C3666929
755,55,C0178729,C2819769
756,56,C3734499,C4008194
757,57,C1219593,C2811909
758,58,C1868552,C3926021
759,59,C1450884,C3376929
760,60,C0733757,C3896366
761,61,C1845358,C3411869
762,62,C1434724,C3575670
763,63,C0935989,C2689549
764,64,C0446450,C3217340
765,65,C0493259,C1719294
766,66,C1544595,C3132132
767,67,C2305046,C2642178
768,68,C0333324,C1231769
769,69,C1696937,C3085848
770,0,C0218817,C3582205
771,1,C0603345,C2708449
772,2,C2444201,C3353924
773,3,C0595701,C1032347
774,4,C3759174,C3932233
775,5,C1333342,C2604212
776,6,C2972902,C3242190
777,7,C0935715,C3767050
778,8,C1887017,C2817874
779,9,C3916129,C3943975
780,10,C0729767,C1941337
781,11,C0056304,C0357067
782,12,C0895926,C3071298
783,13,C2642431,C3231675
784,14,C2743605,C3944015
785,15,C1676012,C1744564
786,16,C1434931,C3556684
787,17,C1519371,C2984498
788,18,C1937636,C2695500
789,19,C1829282,C3123771
790,20,C3048037,C3317811
791,21,C0063839,C3255955
792,22,C1060787,C1983244
793,23,C2445775,C3796414
794,24,C1624158,C1897349
795,25,C2927367,C3131534
796,26,C3029267,C3379209
797,27,C0943960,C2709183
798,28,C2292638,C2635076
799,29,C2517764,C2945095
800,30,C1651380,C1844372
801,31,C1817180,C3748456
802,32,C3362284,C3914312
803,33,C1989099,C2694465
804,34,C2735391,C3106075
805,35,C0322710,C3136309
806,36,C0099703,C1660779
807,37,C3172136,C3933957
808,38,C0835321,C2509442
809,39,C1670622,C1921552
810,40,C3051420,C4025896
811,41,C0005087,C1498948
812,42,C0064610,C1537391
813,43,C2071928,C3418144
814,44,C2500206,C2926287
815,45,C0353809,C0520538
816,46,C0446942,C0709328
817,47,C2640548,C3503300
818,48,C0083165,C1636838
819,49,C1712056,C2305886
820,50,C2536531,C3379444
821,51,C2927725,C3967613
822,52,C2608008,C4044409
823,53,C0814192,C3999378
824,54,C1234199,C2654092
825,55,C0611732,C2381065
826,56,C0630063,C1632948
827,57,C0634171,C4016709
828,58,C0756733,C3550539
829,59,C3013846,C3798239
830,60,C0800718,C2347693
831,61,C0317860,C3041728
832,62,C0721997,C0834885
833,63,C1655941,C3987715
834,64,C0156098,C1370575
835,65,C0071669,C2975987
836,66,C0665838,C1151689
837,67,C1702619,C2402062
838,68,C2456798,C3270408
839,69,C1092149,C2475358
840,0,C0240234,C2719571
841,1,C0614478,C3609453
842,2,C3151712,C3985649
843,3,C0607817,C2384655
844,4,C0069834,C1944532
845,5,C1977249,C2628128
846,6,C2422790,C3365501
847,7,C1191668,C1372213
848,8,C0077650,C3906114
849,9,C2456600,C3044351
850,10,C2352692,C3394502
851,11,C3073540,C3574624
852,12,C3109610,C3654390
853,13,C3008783,C3324883
854,14,C3725746,C4006713
855,15,C0892614,C1839188
856,16,C0034223,C2490575
857,17,C0932429,C3713204
858,18,C0073768,C1504930
859,19,C3953914,C4009083
860,20,C1953289,C3096385
861,21,C1832761,C3593636
862,22,C2562247,C3046783
863,23,C1936773,C2480805
864,24,C0931935,C3628967
865,25,C1645276,C3998699
866,26,C1920413,C2296546
867,27,C1367815,C2627553
868,28,C1882097,C2752311
869,29,C3742631,C3819624
870,30,C0483903,C1060298
871,31,C1359927,C3489508
872,32,C0073009,C3353925
873,33,C0087304,C3953061
874,34,C0256089,C1815808
875,35,C2297297,C3601485
876,36,C1335975,C1941807
877,37,C2472835,C3797162
878,38,C3715703,C3989978
879,39,C3083464,C3100061
880,40,C3222176,C3732020
881,41,C0651783,C3959137
882,42,C0090566,C3053581
883,43,C3149097,C3721701
884,44,C2573091,C3779024
885,45,C0376343,C3531066
886,46,C0615145,C2802567
887,47,C1065028,C2760000
888,48,C1067685,C2277252
889,49,C1213021,C3490715
890,50,C2623121,C3804768
891,51,C2603372,C3785365
892,52,C1940766,C2675876
893,53,C2372709,C2991739
894,54,C3503484,C3591786
895,55,C3252717,C3282323
896,56,C1837270,C2444740
897,57,C0964855,C2451537
898,58,C1141526,C1663528
899,59,C1115640,C1183051
900,60,C1176535,C3345057
901,61,C0157355,C2637028
902,62,C0329549,C2673101
903,63,C0651946,C4043929
904,64,C2788321,C3367392
905,65,C1597453,C1963205
906,66,C2796979,C3320962
907,67,C1602189,C2987857
908,68,C0917752,C3210425
909,69,C1567297,C1633710
910,0,C0541931,C3595379
911,1,C1452415,C3644561
912,2,C2513624,C2654402
913,3,C0064038,C3342041
914,4,C0661910,C1072924
915,5,C2263442,C3950476
916,6,C2366206,C3940454
917,7,C3014171,C3128223
918,8,C1885456,C3415679
919,9,C2630414,C3044264
920,10,C2716603,C3008905
921,11,C0550959,C3577914
922,12,C2339741,C2394085
923,13,C1895204,C3332012
924,14,C1091091,C1325655
925,15,C2942784,C3950833
926,16,C1548383,C3212870
927,17,C3813056,C3818358
928,18,C0603618,C3010561
929,19,C0934819,C3335175
930,20,C1568359,C2308283
931,21,C1830403,C3726307
932,22,C0080884,C3718237
933,23,C3377287,C3571236
934,24,C3370742,C3890783
935,25,C3482895,C3618743
936,26,C0872205,C3064350
937,27,C2274440,C2526400
938,28,C1140470,C1619412
939,29,C2630677,C2661021
940,30,C3057196,C3575723
941,31,C2795680,C3314911
942,32,C3174049,C3722503
943,33,C2996383,C3626891
944,34,C0368078,C3161034
945,35,C2559899,C3842269
946,36,C1852717,C2742031
947,37,C0708798,C3368155
948,38,C0018790,C1095676
949,39,C1182068,C3781119
950,40,C1047266,C1136950
951,41,C1419708,C2449356
952,42,C0428818,C3950513
953,43,C0781899,C3552229
954,44,C1660740,C3951442
955,45,C1454817,C3370433
956,46,C3048959,C3800335
957,47,C3926278,C3975610
958,48,C0932050,C3400739
959,49,C2272969,C2822348
960,50,C0012236,C3556680
961,51,C2984521,C3539943
962,52,C2810751,C4041637
963,53,C1043534,C2992147
964,54,C0167638,C2391115
965,55,C0482670,C1557818
966,56,C2338985,C2818213
967,57,C0290687,C3489734
968,58,C1659346,C2802773
969,59,C0618466,C1280224
970,60,C2943786,C3780100
971,61,C1818852,C3905689
972,62,C1309242,C1742766
973,63,C2623929,C3105554
974,64,C1122155,C3173002
975,65,C0816869,C1243622
976,66,C1340955,C3644450
977,67,C0071296,C1245659
978,68,C3009570,C3989125
979,69,C0506507,C2508055
980,0,C2450403,C3721141
981,1,C1953480,C3001283
982,2,C1676979,C2335394
983,3,C2572548,C2961509
984,4,C1002493,C2342804
985,5,C1493256,C2481819
986,6,C1264644,C1961978
987,7,C0604886,C3489834
988,8,C3226291,C3814437
989,9,C3238978,C3983331
990,10,C0453958,C3496986
991,11,C1715993,C3572999
992,12,C1885902,C1924796
993,13,C2727578,C3552101
994,14,C0627132,C3924694
995,15,C1067396,C3596597
996,16,C0241811,C3469952
