,CUI1,CUI2
352,C1977445,C3534814
353,C3379725,C2562818
354,C0926284,C1900438
355,C2626106,C3853695
356,C3652410,C2793514
357,C1378314,C1918668
358,C0938734,C3247932
359,C3323016,C1002353
360,C1813501,C1874079
361,C0602971,C2351908
362,C1464033,C4008495
363,C0278849,C0538410
364,C4043788,C3710225
365,C1999336,C0347982
366,C0002766,C3393642
367,C1932719,C0362649
368,C2624102,C1926166
369,C3349814,C1933960
370,C2718189,C3181647
371,C1281465,C1739765
372,C0393851,C0562547
373,C1427417,C0482596
374,C2559215,C1668752
375,C3267311,C3174732
376,C2682982,C3981660
377,C0488311,C0334209
378,C2530185,C0802028
379,C1151271,C0892060
380,C3217376,C0364796
381,C0036488,C1624077
382,C2949429,C0116190
383,C1711061,C0192004
384,C0931145,C2752745
385,C1250658,C2295020
386,C0075928,C3654727
387,C1378331,C0228225
388,C0484932,C2684189
389,C3829127,C3828875
390,C2708544,C1553511
391,C1416881,C0202449
392,C0713712,C1815578
393,C2447922,C3918142
394,C0991511,C1645723
395,C2654784,C3958826
396,C1940777,C1651659
397,C0023779,C1546454
398,C1958394,C0482574
399,C0741884,C2630448
400,C3811017,C0796944
401,C1422446,C2361834
402,C1952721,C0752332
403,C0020968,C2659522
404,C2961744,C0029421
405,C2544230,C1647390
406,C1467473,C0054867
407,C0023861,C1217047
408,C0011412,C0831762
409,C1570923,C2939465
410,C0362324,C2273301
411,C1419593,C3332251
412,C3067658,C0368175
413,C0039597,C1162840
414,C0814877,C1842942
415,C2420755,C2648794
416,C3899062,C2546084
417,C1189392,C0012603
418,C2274999,C1334333
419,C0365829,C0011524
420,C2675204,C1460403
421,C3535696,C3315874
422,C1056089,C2542999
423,C3102355,C1977005
424,C1526465,C2003673
425,C0798803,C0802267
426,C0751882,C2638784
427,C2697525,C1661772
428,C1147011,C0030306
429,C1449043,C3537335
430,C2404455,C1051496
431,C3786812,C2386381
432,C1676476,C1539733
433,C4001173,C0871685
434,C1260649,C0365312
435,C2923205,C1420026
436,C3204506,C3278176
437,C0483169,C2715545
438,C1508112,C1635687
439,C0942611,C2301972
440,C2289984,C1489578
441,C1334410,C1625198
442,C3263147,C1280931
443,C2599849,C3822955
444,C1041386,C0550091
445,C0597979,C3442527
446,C3699441,C0362428
447,C0825044,C1176497
448,C4023767,C0037507
449,C1100696,C3615994
450,C0036534,C1369538
451,C3774620,C3395694
452,C2676770,C1709320
453,C1416001,C3834066
454,C0485421,C0821689
455,C0879793,C3820802
456,C2926310,C3729784
457,C0797943,C2546044
458,C1309737,C1131951
459,C0368456,C0078802
460,C1216333,C2963082
461,C0485555,C1096458
462,C2448680,C3941400
463,C1687700,C0071072
464,C3959472,C2697532
465,C2414642,C1927400
466,C0978965,C3408463
467,C2818113,C0791914
468,C1281013,C2807046
469,C2557705,C2441698
470,C0006701,C3831711
471,C0642391,C1420439
472,C0709482,C0206682
473,C1471886,C1561642
474,C1739790,C3539191
475,C1977312,C0658633
476,C2460173,C0036647
477,C0320458,C2791295
478,C3078467,C0551043
479,C0991540,C0795367
480,C3869996,C1450170
481,C0619364,C0485708
482,C2449163,C0867673
483,C0812287,C3431058
484,C0028458,C0379557
485,C0695225,C1031221
486,C1329216,C1487857
487,C0273532,C1526733
488,C0497366,C1916200
489,C3034178,C0975681
490,C3497702,C0485754
491,C1660979,C0549858
492,C0504348,C2264433
493,C3052914,C3136926
494,C2586487,C3737639
495,C3814427,C0888938
496,C3962428,C0149069
497,C1522449,C3887678
498,C0058704,C3740140
499,C1315096,C0274288
500,C3934301,C0828113
501,C3166566,C2272003
502,C1710253,C0486228
503,C1421479,C2267878
504,C2299194,C1252487
505,C0868427,C1367544
506,C2604206,C0276275
507,C0880432,C3247703
508,C3540681,C1544004
509,C3999621,C3442011
510,C1454976,C0807197
511,C0322738,C1232324
512,C3931971,C0980012
513,C1146745,C3107166
514,C0076097,C3002064
515,C0643739,C0021073
516,C2241885,C1870824
517,C0590688,C1705814
518,C1539565,C3785165
519,C1256393,C3256142
520,C2574876,C0018801
521,C0585098,C1332507
522,C1634395,C2279736
523,C1415356,C2480108
524,C2351193,C0362876
525,C3655016,C1945422
526,C0803301,C3087821
527,C1845825,C3320472
528,C1305214,C1640471
529,C1423388,C1200920
530,C3737431,C1702214
531,C3621613,C3665025
532,C2970456,C3888429
533,C0799192,C3823441
534,C1037496,C1083161
535,C0928292,C1976914
536,C3984194,C3641117
537,C0292198,C1147577
538,C1324740,C3728169
539,C0627177,C2985674
540,C0605198,C1524979
541,C1362220,C1826706
542,C0155620,C0006013
543,C3531318,C0003490
544,C2733654,C3894111
545,C0338508,C0936686
546,C3929687,C0163768
547,C2459252,C0177782
548,C0551032,C3063979
549,C1011385,C1308855
550,C2828193,C0795032
551,C1371593,C2385682
552,C0881214,C2734430
553,C1094369,C0041916
554,C0398689,C0550401
555,C0017133,C0947219
556,C1242984,C3545765
557,C4045415,C0812767
558,C3448172,C0482690
559,C3655256,C0822217
560,C2447238,C1084712
561,C3031214,C1568038
562,C3897602,C0957670
563,C2734957,C3616594
564,C1860586,C0645611
565,C0739345,C1288390
566,C2414800,C0073844
567,C2778355,C1453988
568,C0329009,C1229929
569,C3937690,C1538989
570,C3192992,C0024934
571,C0265344,C0945028
572,C1453774,C0494018
573,C3809450,C0065401
574,C3943287,C1420025
575,C0936049,C0150934
576,C2733847,C0922641
577,C1323455,C3668808
578,C0206504,C3010660
579,C1145001,C0007673
580,C3953647,C0543133
581,C0011750,C0941512
582,C1169601,C1954806
583,C1543364,C0752665
584,C3828174,C3927233
585,C0941776,C2499016
586,C3825526,C0363633
587,C2571722,C1883801
588,C0802722,C1826700
589,C0970937,C3740685
590,C0941859,C2369202
591,C0827548,C3255868
592,C0042760,C1210948
593,C1150957,C1342973
594,C0223675,C1739036
595,C1855754,C1173804
596,C1506309,C1420328
597,C0228349,C3487587
598,C1824672,C2719464
599,C1248139,C1567040
600,C0077143,C0050709
601,C3157007,C0068897
602,C0323480,C1715859
603,C3145385,C1368993
604,C0944709,C2719981
605,C3593634,C3066548
606,C0285476,C0226546
607,C3415014,C1190334
608,C1224275,C2411688
609,C3358435,C3172597
610,C2483252,C1548066
611,C2781921,C0003620
612,C3104410,C1822936
613,C1312313,C1530443
614,C1413454,C3847048
615,C0364013,C2735878
616,C1321189,C1966489
617,C0944808,C2924929
618,C2314143,C3441243
619,C1527402,C2644288
620,C2673979,C0536869
621,C2425205,C1424428
622,C2369199,C0803001
623,C0802118,C2678771
624,C1637358,C2584300
625,C2806868,C0152656
626,C0688173,C0439269
627,C0280115,C2798498
628,C3720631,C2463214
629,C1114910,C2695201
630,C1451734,C1526673
631,C3337361,C0347625
632,C3787978,C3872306
633,C0367971,C1644155
634,C0483539,C1822876
635,C2746503,C3686104
636,C2638232,C0800440
637,C0944637,C0135615
638,C0083183,C0059573
639,C0670509,C1716332
640,C0221016,C1136077
641,C0382379,C1210873
642,C3948812,C3148784
643,C1862096,C3172608
644,C2399662,C3121920
645,C0550448,C0037301
646,C2288462,C0049009
647,C2808238,C0804396
648,C1114716,C1710439
649,C3367138,C3779677
650,C0038174,C1237912
651,C1524850,C1324397
652,C1449995,C0876674
653,C0442058,C3989541
654,C0368929,C0776406
655,C1143232,C0881605
656,C1693832,C1307326
657,C1830061,C4003647
658,C1813086,C1223205
659,C0331039,C1315292
660,C0803414,C2443861
661,C2386773,C3401308
662,C1508185,C1958448
663,C0019154,C2632875
664,C0550425,C0009829
665,C3174293,C0488243
666,C2454165,C1688316
667,C2379784,C1114211
668,C3967289,C2384664
669,C0738995,C2936558
670,C3407954,C0247794
671,C0020289,C3742866
672,C2444578,C1934467
673,C1325595,C2733900
674,C0023822,C1415569
675,C0798888,C3034050
676,C0797435,C1544589
677,C2399468,C3899292
678,C3482380,C0736125
679,C1954795,C1739825
680,C1874859,C2736429
681,C1825559,C0757992
682,C0815252,C0631272
683,C3811106,C3315349
684,C2989973,C3791570
685,C1256739,C4010622
686,C1160083,C1452916
687,C0055235,C2984934
688,C1966183,C0244742
689,C0074612,C1626185
690,C2240200,C1493804
691,C0854829,C2512207
692,C1086535,C1234544
693,C2400815,C0023556
694,C0964834,C1850415
695,C1914401,C0366195
696,C1523018,C3256117
697,C0812462,C1564803
698,C0831054,C0006949
699,C0025543,C1642571
700,C1526437,C3406327
701,C1154977,C3147854
702,C3263432,C0975600
703,C0280812,C2287096
704,C0976708,C3601949
705,C1892680,C1909848
706,C1570145,C1996307
707,C2412601,C2644907
708,C0242178,C2372652
709,C3131601,C0032019
710,C2996618,C0976470
711,C0880259,C2678813
712,C1853857,C4037878
713,C3273395,C1831286
714,C3001251,C3217169
715,C3944774,C3555418
716,C1543317,C2717018
717,C3485511,C3827691
718,C0045299,C0020172
719,C3768530,C2360681
720,C0700639,C0085441
721,C2247290,C0293451
722,C0647612,C2360656
723,C3897462,C0009421
724,C1631491,C0485620
725,C0161071,C0187985
726,C0797837,C3354209
727,C3860137,C2438665
728,C1629908,C1507429
729,C1324809,C3428483
730,C3816761,C1195487
731,C3713271,C0789451
732,C1544473,C2258471
733,C2550438,C0009413
734,C2764898,C0054970
735,C0923236,C0025268
736,C2427890,C1189068
737,C0550561,C1643829
738,C1438152,C1942233
739,C1424300,C0176634
740,C2241969,C3405582
741,C3390531,C3972645
742,C3314759,C1372716
743,C0007569,C2485985
744,C1155222,C0803445
745,C0021619,C1544643
746,C1524641,C0526339
747,C0487704,C0363671
748,C1171733,C0928192
749,C1316623,C2932979
750,C1180663,C0018064
751,C0803545,C1660432
752,C0001208,C2812101
753,C2824481,C0025859
754,C1120350,C2360349
755,C0025111,C1556751
756,C3471165,C3489546
757,C3149964,C0162439
758,C2808974,C0483713
759,C0928421,C0228725
760,C0040979,C1714482
761,C3916822,C1830236
762,C2360080,C3966659
763,C1679328,C1845417
764,C1888741,C3539953
765,C0334488,C0689635
766,C0063827,C0615806
767,C2545408,C0770150
768,C1243753,C2635899
769,C1507777,C1288473
770,C2406588,C3333093
771,C0700415,C0368223
772,C0877176,C0976746
773,C2707983,C1476534
774,C0456223,C3857724
775,C0942766,C3542781
776,C2918699,C1004973
777,C1449652,C4020215
778,C2677189,C0225609
779,C0050997,C1899813
780,C2695266,C2603829
781,C1316333,C3486783
782,C3184562,C2713260
783,C3610089,C3541094
784,C3582279,C1427820
785,C0056198,C1076595
786,C1518068,C0501903
787,C0982350,C0482189
788,C2515495,C1575137
789,C2599311,C1924266
790,C0798345,C3246551
791,C2424529,C1710119
792,C1317286,C1421037
793,C0486014,C0051180
794,C0044020,C0036874
795,C1942163,C0378240
796,C2829566,C0887016
797,C3482175,C0012054
798,C1640049,C0934799
799,C1909479,C3482277
800,C3494331,C2404418
801,C0735073,C3563190
802,C1040602,C0377566
803,C1977221,C2505135
804,C0942006,C1183180
805,C3552008,C3900370
806,C1316459,C0342580
807,C1539247,C0364090
808,C0362546,C1591237
809,C3352378,C3545914
810,C1001192,C0968725
811,C0976877,C3423311
812,C1525278,C1856704
813,C0042961,C0751568
814,C2541255,C1978381
815,C2562288,C0575878
816,C0502378,C0618113
817,C3334034,C1853736
818,C0027410,C0889165
819,C2356962,C3603977
820,C2994958,C1638468
821,C3424035,C0551105
822,C3913760,C1538440
823,C1680662,C2939365
824,C1634125,C3543825
825,C0012203,C1525796
826,C1929085,C0082274
827,C3035277,C1910846
828,C0162864,C2683919
829,C2828071,C2336431
830,C1624680,C0008377
831,C2658682,C1414044
832,C2735173,C0008303
833,C2544787,C2707263
834,C1881158,C1530699
835,C2289967,C0942546
836,C1289276,C1710340
837,C2511368,C3231970
838,C3260189,C1715219
839,C0239536,C0021931
840,C3006257,C2707124
841,C2498481,C3816880
842,C0308812,C3970611
843,C3545407,C3173942
844,C1193269,C0002268
845,C3246921,C0224416
846,C3248638,C1648589
847,C3781841,C0046166
848,C3744230,C3278906
849,C0284664,C3603974
850,C0488372,C0503580
851,C0798908,C0800013
852,C1681426,C1715646
853,C0689378,C1329139
854,C1826600,C3977219
855,C1092538,C0238210
856,C2442960,C0879825
857,C2528636,C2447502
858,C0637230,C0687939
859,C1417854,C1334261
860,C2996049,C1333935
861,C1315196,C1278712
862,C0782220,C1178857
863,C0002142,C0004936
864,C2981609,C2274193
865,C1182516,C2966716
866,C3723739,C1438609
867,C0042133,C1466277
868,C0482072,C3174495
869,C0389651,C0942397
870,C1813964,C3725068
871,C1147102,C3118283
872,C1148073,C2670324
873,C0550502,C1985283
874,C0503561,C3889154
875,C3982885,C0220633
876,C1556474,C0025521
877,C3102485,C1429089
878,C2521630,C2733942
879,C1335197,C1420225
880,C1512653,C0040373
881,C3919094,C2710909
882,C0804457,C0692008
883,C0152544,C2631517
884,C0700219,C1007307
885,C1176162,C3932719
886,C3374226,C2611384
887,C1487771,C0079933
888,C2753841,C3443166
889,C1501878,C3786341
890,C0007872,C1114380
891,C0797133,C0995799
892,C1874689,C1633441
893,C1012130,C2706893
894,C0013404,C3173699
895,C1826409,C0797458
896,C3052186,C2821842
897,C0880809,C0800730
898,C0072018,C0804355
899,C0367248,C2290858
900,C1005340,C3105382
901,C3847161,C2002093
902,C1696477,C1147025
903,C3172251,C3893993
904,C0737381,C2292778
905,C2499136,C1724190
906,C0240800,C2671216
907,C2311253,C3578345
908,C2278622,C0115194
909,C0069939,C3540406
910,C0484092,C1523897
911,C0712049,C1422087
912,C3844139,C1709998
913,C0364391,C0045557
914,C0003368,C0798104
915,C0302894,C0022057
916,C0647480,C1714721
917,C0007706,C1819126
918,C1530729,C2391279
919,C1012336,C3253252
920,C3639658,C1928499
921,C0797452,C0753726
922,C1414590,C1136236
923,C3378468,C3106722
924,C3323301,C0011389
925,C0945814,C0032897
926,C0026782,C2396697
927,C0485762,C0231528
928,C1028401,C0072772
929,C0208884,C2980429
930,C0045389,C0367475
931,C1830328,C1525798
932,C1039891,C0914618
933,C2743511,C0880025
934,C1158735,C0034336
935,C0315099,C1526407
936,C0167802,C0312113
937,C3008084,C0485745
938,C1712048,C1334093
939,C1457872,C0447267
940,C2502286,C1259188
941,C0076605,C0003691
942,C2493982,C3428429
943,C0550807,C0484490
944,C1830344,C3956582
945,C1419358,C2803673
946,C1526746,C1507520
947,C3176053,C1543017
948,C3173131,C1715143
949,C0941958,C0693758
950,C3106998,C0953707
951,C0041328,C0011082
952,C1166719,C0029011
953,C0044346,C1673347
954,C3172340,C4021923
955,C3944197,C0798638
956,C0035668,C0226625
957,C0387011,C3563558
958,C1422019,C0040976
959,C2615903,C3274695
960,C3081490,C1242461
961,C3634784,C3644114
962,C0364629,C0798142
963,C3393110,C4007484
964,C2598694,C1741257
965,C3813717,C4037592
966,C2402253,C3810578
967,C2458717,C0298187
968,C1874939,C1421349
969,C2397254,C2695390
970,C0941540,C1977072
971,C2734646,C3979648
972,C1450613,C0368299
973,C1228944,C0996824
974,C0040836,C0691580
975,C3241501,C1524524
976,C0856012,C3033255
977,C3909839,C2775331
978,C1416653,C3956121
979,C2678676,C3965183
980,C1831364,C2446871
981,C2619711,C1193184
982,C0665167,C0828040
983,C1063089,C2440163
984,C1419242,C3726397
985,C1829664,C1059595
986,C3173384,C1315823
987,C3964163,C1121670
988,C0085298,C0365262
989,C3367689,C1872370
990,C0982320,C2361891
991,C0797788,C3654437
992,C3174922,C0482998
993,C1415561,C3992166
994,C3953122,C3122448
995,C3249307,C2361812
996,C0520485,C0124847
997,C2916829,C0032520
998,C0883043,C2599282
999,C2751696,C0485044
