,CUI1,CUI2
184,C0162303,C0666904
185,C2924284,C1311781
186,C0393047,C2606309
187,C3887683,C3884274
188,C3168383,C1883607
189,C1148064,C0026609
190,C3158799,C0550757
191,C0483860,C3811690
192,C1524386,C1525758
193,C3106105,C3428706
194,C0149761,C0486317
195,C2628238,C2282136
196,C1688975,C0826235
197,C0944416,C1948024
198,C1308454,C3030348
199,C1572305,C1710891
200,C2606824,C1884938
201,C0282616,C3623751
202,C2634976,C0050145
203,C3332318,C1627014
204,C1307175,C0652816
205,C0924016,C2240151
206,C3754112,C3071514
207,C1507534,C3660261
208,C3824221,C0178706
209,C2987771,C0943193
210,C0880677,C0340464
211,C2798395,C0751675
212,C0156088,C3344561
213,C0363955,C3411799
214,C3911580,C1978097
215,C1645759,C3815433
216,C0032974,C3992903
217,C3136135,C3256758
218,C3810939,C2754453
219,C2923507,C2998131
220,C3966203,C2692608
221,C0082603,C1192760
222,C0256139,C1708937
223,C0942623,C0482540
224,C0652586,C1187388
225,C0552253,C3259294
226,C1977091,C0330208
227,C1924248,C2361378
228,C1717334,C1077791
229,C1332015,C0775753
230,C1846573,C0630204
231,C0628911,C3032464
232,C2607831,C0712207
233,C2338046,C0020687
234,C1423717,C0850996
235,C3440559,C1145370
236,C2460587,C0798107
237,C3043706,C1874130
238,C0658638,C2681709
239,C0550557,C1647448
240,C1444956,C0021053
241,C1545069,C0713359
242,C0797058,C2536356
243,C2810120,C1644217
244,C0728740,C3772844
245,C1549069,C0614549
246,C1198670,C3327223
247,C1919387,C2310350
248,C3489904,C0799579
249,C1422425,C2656482
250,C1948581,C3259416
251,C3797915,C3558923
252,C1715286,C2464026
253,C0000814,C0023636
254,C0425661,C3939835
255,C0085383,C2986799
256,C0485421,C2373020
257,C2664440,C1873005
258,C3599585,C1699741
259,C1029344,C0944885
260,C0065493,C1514764
261,C1527150,C2393792
262,C1979284,C3825468
263,C3541223,C1148761
264,C0018681,C1189393
265,C1147445,C3811524
266,C3392415,C2946461
267,C1032649,C0551949
268,C1647757,C1008079
269,C2660312,C2988155
270,C1661334,C2689346
271,C0941531,C3959162
272,C1137729,C0280220
273,C1315982,C0935269
274,C1312559,C3016744
275,C1160172,C2001127
276,C0690083,C1927426
277,C0880419,C0800456
278,C0003507,C1526086
279,C3741813,C0385251
280,C0827652,C1148246
281,C0551871,C1957390
282,C1702011,C0880130
283,C1538680,C0751987
284,C1549094,C2247656
285,C2813862,C1033842
286,C3275141,C3470287
287,C0945467,C1226450
288,C0364062,C0815907
289,C1414386,C0485627
290,C1526595,C3200110
291,C0550196,C1487499
292,C2348019,C3499619
293,C0022782,C2685570
294,C0971810,C2824401
295,C0995661,C0549710
296,C3121941,C3786413
297,C2794458,C3402577
298,C3551840,C3590838
299,C3130933,C1082443
300,C0281632,C0717309
301,C1035104,C1876213
302,C1995849,C1329020
303,C2923891,C1905275
304,C2802339,C3653289
305,C1452533,C3011772
306,C3701198,C1835342
307,C3176055,C0941855
308,C0585029,C1445993
309,C1823791,C3553644
310,C3032382,C1426010
311,C0079541,C1414805
312,C2946346,C2599303
313,C3618808,C1678038
314,C0977516,C0690825
315,C3611184,C0800746
316,C2738979,C0485674
317,C0039600,C3176064
318,C0941708,C1621630
319,C0178543,C1824719
320,C0019977,C3119428
321,C0026374,C3813705
322,C1978048,C0085484
323,C1576346,C0036078
324,C3728783,C1869229
325,C3124717,C2678925
326,C3352499,C0482714
327,C3968378,C0639435
328,C2579566,C0980713
329,C1336557,C0240223
330,C2598943,C0016989
331,C0366496,C1302025
332,C1412428,C1823959
333,C3062271,C0278863
334,C1147126,C2656584
335,C0799226,C3243437
336,C0367310,C0798258
337,C0484019,C3847736
338,C3887523,C1316483
339,C1632978,C3888018
340,C0185965,C2003577
341,C1037611,C1941565
342,C1148237,C1558525
343,C1032598,C0880068
344,C1616327,C1870795
345,C1179213,C0021532
346,C0550195,C3233363
347,C1020245,C3974959
348,C2361311,C2599172
349,C0042509,C3791996
350,C0645169,C0488582
351,C0772979,C2129214
352,C0367783,C0364388
353,C0365800,C2923262
354,C0030859,C2392771
355,C2807108,C3176100
356,C1378317,C3713017
357,C2304383,C1194635
358,C0008221,C2788942
359,C0319269,C3464559
360,C0934303,C0978537
361,C0482364,C1430441
362,C3064603,C1955511
363,C3166167,C3318528
364,C1301894,C1259556
365,C2651198,C1539750
366,C0280268,C1927244
367,C0362869,C2652383
368,C1315924,C2638131
369,C3840697,C3765753
370,C1674899,C2755503
371,C2439851,C2679217
372,C2703853,C1154746
373,C2829864,C0385774
374,C3496782,C0637851
375,C1522612,C1714997
376,C2375248,C1927522
377,C0459952,C2687404
378,C0448144,C1544029
379,C3754186,C0047861
380,C2421171,C2708580
381,C3095124,C0021263
382,C0534825,C2749759
383,C0616453,C1573459
384,C2344625,C1505584
385,C1203454,C3188873
386,C3844082,C2604261
387,C0716838,C1527419
388,C0631712,C3012608
389,C3278515,C2444722
390,C1110594,C0365099
391,C3636052,C2304263
392,C0550082,C1697989
393,C2532919,C3333796
394,C2961911,C2332042
395,C1150162,C0079173
396,C3814690,C1420631
397,C0452458,C0529036
398,C1435902,C2708941
399,C1384511,C3474128
400,C3146899,C2727154
401,C1021953,C0254123
402,C0896830,C3528994
403,C3926826,C2460720
404,C2992952,C0364170
405,C2661960,C3618903
406,C2361148,C1530192
407,C2944794,C1525717
408,C1310888,C1432515
409,C0691837,C1880256
410,C1151351,C0628280
411,C0822946,C0116250
412,C0031268,C1942844
413,C3932895,C1311961
414,C1715564,C0679468
415,C1003969,C0317742
416,C1051111,C1819406
417,C3012081,C0366738
418,C0752265,C0882311
419,C1369790,C2515751
420,C0384502,C1573269
421,C3257887,C3027822
422,C1822817,C1221100
423,C3118190,C1526593
424,C0826141,C0363417
425,C0881500,C1539089
426,C1070037,C1954364
427,C2411817,C3857861
428,C0689485,C0363345
429,C0797682,C1950723
430,C2797383,C0728759
431,C0802040,C1288524
432,C1156091,C0043540
433,C1836417,C0804446
434,C3470126,C0636191
435,C3943550,C2680482
436,C1544316,C2937520
437,C1953953,C0797815
438,C2980449,C0295140
439,C3999542,C2484787
440,C3642344,C2809186
441,C1423526,C0941622
442,C1868689,C0740944
443,C2717643,C0029000
444,C2715671,C1254201
445,C0009952,C2295285
446,C2350418,C0075142
447,C0363980,C0967663
448,C2241228,C3494160
449,C3379642,C1688043
450,C2654362,C0504933
451,C1749421,C3359110
452,C0226804,C3089653
453,C0445748,C2269950
454,C0655100,C0974907
455,C0375778,C0803319
456,C1072492,C3057062
457,C0277120,C3908028
458,C2613639,C3108969
459,C0022333,C2938480
460,C0961026,C2428071
461,C0827155,C3215553
462,C2681758,C1035144
463,C0039226,C3692705
464,C3490146,C3393329
465,C0021735,C0184352
466,C0149871,C1328256
467,C1556684,C0976907
468,C0975430,C1215010
469,C2617405,C0014599
470,C3171814,C0033775
471,C3417724,C0800709
472,C1262346,C0941596
473,C2279787,C2811508
474,C0025149,C0730732
475,C3320492,C2587113
476,C2650694,C3541699
477,C0364893,C0242589
478,C1156700,C3026776
479,C0455099,C3361065
480,C1977720,C1714888
481,C1524813,C3453960
482,C0280296,C2372525
483,C0226829,C0046319
484,C1616275,C0366525
485,C0980633,C0017992
486,C3610551,C1417811
487,C1837963,C1717349
488,C3373317,C0483146
489,C0010805,C1834144
490,C0234540,C1880616
491,C0802903,C0942492
492,C0832723,C1518155
493,C3540543,C3711399
494,C0037817,C0086203
495,C3600238,C2289441
496,C0328488,C0362816
497,C1193666,C2688628
498,C1271941,C0942634
499,C3266858,C2412698
500,C3780677,C1842153
501,C1969039,C2282714
502,C3625588,C0228614
503,C0980022,C2416222
504,C3239796,C0208138
505,C3481635,C1316123
506,C3991502,C0734671
507,C0602738,C0956944
508,C3928914,C0279587
509,C1144000,C2239999
510,C0226609,C1113893
511,C2605807,C1021932
512,C1427116,C2648664
513,C1880841,C2782078
514,C1830344,C2326914
515,C0881751,C2617601
516,C2290941,C0242987
517,C0300196,C2525447
518,C1423708,C3566425
519,C1953018,C0676939
520,C0332468,C1817048
521,C0485175,C0797571
522,C0673663,C3654155
523,C2985356,C1622318
524,C0060696,C1482988
525,C0662155,C1875704
526,C1716319,C0597434
527,C0013494,C0945505
528,C2723821,C0827042
529,C1976934,C3257816
530,C1422986,C0023299
531,C0504590,C1437095
532,C0270612,C0800614
533,C3828742,C1315743
534,C2686241,C3772330
535,C0613959,C3211725
536,C3974649,C1225967
537,C0803440,C2780245
538,C1134566,C1553265
539,C0717976,C2412638
540,C2444166,C1315336
541,C2973070,C2949308
542,C0938466,C0798594
543,C0600500,C0222770
544,C3006607,C0154842
545,C1011747,C2822659
546,C1570686,C0887848
547,C1602412,C1417012
548,C3341852,C0365966
549,C1313009,C0355699
550,C1538979,C1527044
551,C1893126,C0010298
552,C2926049,C1568516
553,C3009100,C2419394
554,C3927869,C2348868
555,C1335073,C3902085
556,C0047799,C4015800
557,C0802382,C3982113
558,C0872697,C0484163
559,C0678761,C2759134
560,C2477766,C0367238
561,C0005976,C1591735
562,C2336654,C0936454
563,C0880466,C0455099
564,C0687883,C3762096
565,C0282641,C0358842
566,C3465044,C1552732
567,C2931150,C2973562
568,C3976235,C3725259
569,C1498089,C0206055
570,C0522476,C0083846
571,C1678591,C3719914
572,C0500798,C3957428
573,C3482309,C1953328
574,C3809859,C0376171
575,C0977588,C0262019
576,C3590049,C3218853
577,C4034996,C1235296
578,C0953849,C1517057
579,C1414078,C3540114
580,C2662936,C3644443
581,C3921648,C3435325
582,C1147032,C0292639
583,C0799125,C1817218
584,C0060103,C1438111
585,C2923851,C3726137
586,C0232209,C1825397
587,C0927085,C2550626
588,C0683825,C2942661
589,C1622334,C1544096
590,C3822503,C2288445
591,C3736595,C0627252
592,C3414989,C1949276
593,C1134698,C0230087
594,C1334026,C2923613
595,C1526578,C1423546
596,C2709486,C3944473
597,C2471490,C1150557
598,C0927819,C1575073
599,C0474543,C1551067
600,C2490177,C2326964
601,C0485283,C1426082
602,C1147749,C2619499
603,C0427480,C0240533
604,C2657506,C0797728
605,C0020861,C2414697
606,C0012482,C1416808
607,C1567744,C3667081
608,C1378364,C0341858
609,C1548154,C2734234
610,C1234830,C0021461
611,C1661326,C3746011
612,C0364430,C1579749
613,C1839110,C3490453
614,C0484590,C3916591
615,C0800899,C0616047
616,C2563732,C2351368
617,C0032231,C0071923
618,C2649782,C0923640
619,C3494428,C1415068
620,C2510740,C0423128
621,C2746975,C3895740
622,C1989212,C0317665
623,C2396488,C1224260
624,C3407947,C1737325
625,C3403016,C2708919
626,C1044169,C2772270
627,C0366309,C1315345
628,C0013055,C2605495
629,C1813987,C3322333
630,C1625730,C1979161
631,C2341613,C1954116
632,C3721470,C3260753
633,C0881102,C3272287
634,C0155587,C0015970
635,C1427920,C1838702
636,C2944845,C1332801
637,C0004842,C1935851
638,C1324975,C3503366
639,C0824402,C1316370
640,C0658103,C1854225
641,C3259957,C3654407
642,C0712835,C1668585
643,C3037170,C3699612
644,C0804381,C0011135
645,C1545729,C0317920
646,C2525697,C0028395
647,C0803105,C0085105
648,C1704879,C0802196
649,C2708753,C1324975
650,C0602345,C3262614
651,C0202830,C0296689
652,C0388979,C0803483
653,C0798879,C2577951
654,C1315511,C0126344
655,C2708852,C3887542
656,C2289449,C1142633
657,C2605914,C0945583
658,C0366327,C3001870
659,C0159877,C1825005
660,C2917028,C3486488
661,C0629013,C0362262
662,C3484131,C1326130
663,C0944657,C1422736
664,C1493372,C1717569
665,C0001133,C0799992
666,C0939788,C1447172
667,C2301411,C3169688
668,C3723138,C2718184
669,C3547047,C2517103
670,C2652609,C3317721
671,C1089776,C0226850
672,C3830897,C1978581
673,C0008961,C2926400
674,C0497409,C1206219
675,C1501462,C0023440
676,C0680826,C3547141
677,C3391619,C0800215
678,C2929267,C3667858
679,C2301981,C3533812
680,C1537832,C1572636
681,C1333173,C3772942
682,C0225976,C0826993
683,C0363642,C2642553
684,C1219032,C1113978
685,C0081620,C0975724
686,C2306657,C1952810
687,C3206132,C1426025
688,C2773662,C0764974
689,C0238461,C1952834
690,C2629647,C1259455
691,C4012323,C3585348
692,C2462127,C1114637
693,C1085936,C0488845
694,C1464110,C0774580
695,C0682610,C0880115
696,C3828371,C0800292
697,C2577536,C3469621
698,C2918009,C0295950
699,C2599162,C0801209
700,C1151607,C0909271
701,C0368144,C1438861
702,C2639894,C0019386
703,C2729790,C3893834
704,C0152289,C1544715
705,C0012274,C3423366
706,C1907485,C0227136
707,C0506910,C4019173
708,C2525419,C0797091
709,C1508027,C0162748
710,C0959511,C3094463
711,C2536899,C2735756
712,C0488058,C0485259
713,C0946391,C1373124
714,C4018549,C2768248
715,C2530170,C2283288
716,C2685052,C3245210
717,C1506757,C0331137
718,C1709089,C1543381
719,C0541792,C3891316
720,C0342467,C2641376
721,C3228670,C3815965
722,C3282677,C1058903
723,C1723182,C0113723
724,C1687336,C0694140
725,C1071563,C1136148
726,C0880158,C1495786
727,C1188423,C2245303
728,C0482787,C2348368
729,C0638546,C0492333
730,C3754355,C0060605
731,C1961983,C0953278
732,C0013291,C0485972
733,C1253197,C1977892
734,C2648133,C0486212
735,C0366345,C3488914
736,C1025627,C2790043
737,C0637104,C1978221
738,C2355475,C1435037
739,C3813641,C1326761
740,C0169798,C0980221
741,C3194621,C2409542
742,C2695094,C0708057
743,C2734593,C0775245
744,C2414801,C0003070
745,C0752295,C1006307
746,C1273362,C2425917
747,C3979175,C0739782
748,C0803875,C0367240
749,C3608565,C2604829
750,C1493540,C2471875
751,C0362851,C0551358
752,C3502312,C0800194
753,C0038319,C2986948
754,C0280617,C2349920
755,C1597393,C2598376
756,C3411429,C0549671
757,C2751072,C2341796
758,C3903596,C0055003
759,C0376628,C0362554
760,C0017951,C1416444
761,C1600407,C1874132
762,C0882511,C0497161
763,C1314780,C1125120
764,C0525730,C1949154
765,C1706037,C1519830
766,C0804316,C1648940
767,C2402276,C0882528
768,C0485355,C2430413
769,C0979936,C1159384
770,C0012798,C1624672
771,C1538692,C0642283
772,C1247113,C1551957
773,C0945464,C2400315
774,C1545427,C1578184
775,C2406402,C2821282
776,C2479282,C0945082
777,C0229819,C0031364
778,C3412600,C0944517
779,C1948501,C0081671
780,C0580797,C3893828
781,C0439774,C1453151
782,C0923409,C3538925
783,C1944234,C3822247
784,C0019028,C0482438
785,C2644454,C3349099
786,C3341959,C1911161
787,C0006938,C0799749
788,C0228423,C3548266
789,C1244071,C3089808
790,C0022346,C1414226
791,C3013231,C0345604
792,C1416765,C1015808
793,C1526405,C0763482
794,C0613830,C0646941
795,C3061536,C0376175
796,C1316271,C0880424
797,C1542958,C0241321
798,C0069879,C2947023
799,C0688787,C0033909
800,C1704545,C2447892
801,C1007363,C2313814
802,C0708781,C0366076
803,C0603063,C0062797
804,C0013902,C1902825
805,C1605045,C1954353
806,C0386967,C0714615
807,C1670561,C3146231
808,C0012154,C0801403
809,C1168405,C1070571
810,C3818022,C0405992
811,C0922657,C1543490
812,C3499691,C1955044
813,C3445814,C1668495
814,C2395589,C0053422
815,C0947785,C1954599
816,C0927342,C3303528
817,C1416526,C2816860
818,C1958506,C1067059
819,C1850889,C1490025
820,C2753875,C0552046
821,C0053776,C0233624
822,C1513188,C2133607
823,C3751101,C3432943
824,C3755846,C3346119
825,C3325519,C3787125
826,C3737888,C0007348
827,C3494368,C0077901
828,C1542862,C1717262
829,C0367658,C3651362
830,C0853281,C1955603
831,C1415473,C0710504
832,C1305386,C3737390
833,C3919711,C0031495
834,C0834219,C0074759
835,C1714656,C2950642
836,C2271072,C2733905
837,C1420163,C1716026
838,C1556355,C0550772
839,C1197880,C0929631
840,C3482219,C2924486
841,C0362388,C1494559
842,C0801018,C0550891
843,C0482243,C1682805
844,C1245396,C0737079
845,C0822194,C0831263
846,C0158695,C0660690
847,C0507117,C2933229
848,C2780999,C2343853
849,C1420922,C0802088
850,C3379259,C0701247
851,C0606536,C0975305
852,C1539341,C1423529
853,C1186286,C0027763
854,C0944655,C1181943
855,C0322190,C3337675
856,C3255717,C3752296
857,C1956107,C0363086
858,C3829842,C2778534
859,C3147412,C2931004
860,C2274679,C4002138
861,C0485512,C0882063
862,C2396757,C0854918
863,C2309562,C1147621
864,C2409869,C3269147
865,C3975483,C1955939
866,C0802705,C1224886
867,C1666898,C3484144
868,C0018818,C0797961
869,C0482305,C3584943
870,C3698804,C3800359
871,C0949738,C0978637
872,C2963914,C0282141
873,C0806443,C0281468
874,C0280096,C2458556
875,C0026160,C2383685
876,C0076964,C1848291
877,C0864640,C3376755
878,C0028377,C1175747
879,C1920812,C0642972
880,C0818327,C1661754
881,C0481944,C0991700
882,C3101227,C2567911
883,C2288648,C3399930
884,C2000727,C2261240
885,C0485205,C1415135
886,C1260916,C0716151
887,C2702377,C3505710
888,C3654402,C3427671
889,C2416783,C0443335
890,C3960380,C1186797
891,C2931835,C1316635
892,C1855375,C0878128
893,C1570922,C0799304
894,C3153982,C1417989
895,C2582766,C1600113
896,C2391793,C3850081
897,C3313256,C1134421
898,C1031149,C1336936
899,C0801908,C3546875
900,C2984408,C0999257
901,C0134072,C0943509
902,C3780623,C0945675
903,C0215510,C1959029
904,C0273486,C1316990
905,C1903757,C3149409
906,C0800203,C2109965
907,C4036992,C0206654
908,C0820118,C0176198
909,C0315278,C2768196
910,C3803214,C0041612
911,C1357949,C2535844
912,C1428622,C1638839
913,C2698415,C1316891
914,C1167082,C1518938
915,C3061518,C2310136
916,C3634975,C0802697
917,C0224076,C0955675
918,C1543222,C0018379
919,C1682549,C3172391
920,C4037758,C1156158
921,C0687790,C1669355
922,C1953582,C1421355
923,C2660190,C0482967
924,C1862090,C2727672
925,C2799915,C0889174
926,C1823925,C0062278
927,C0177026,C0037304
928,C2923663,C1069739
929,C3013664,C0239845
930,C0337739,C0073543
931,C0030762,C1744525
932,C1556415,C3640827
933,C0871172,C3937838
934,C0060197,C0149562
935,C0031364,C0019937
936,C1423547,C1632725
937,C3502134,C2459676
938,C0975043,C1910204
939,C3810788,C0389003
940,C2673131,C0910868
941,C3124422,C0872752
942,C1526384,C1453102
943,C2309623,C1424086
944,C1113834,C2276327
945,C0532517,C0549812
946,C1517563,C2284592
947,C3373440,C1151575
948,C2338787,C0040864
949,C2536533,C0337203
950,C3796694,C2825574
951,C3104294,C0039602
952,C0545902,C0385783
953,C0700539,C3946413
954,C3174160,C1182221
955,C4012142,C1265318
956,C1840028,C3258508
957,C3651310,C1544799
958,C0615036,C0268596
959,C2259054,C0552177
960,C2452480,C1016641
961,C0934901,C1018020
962,C1000767,C1558546
963,C1041101,C0483846
964,C0447388,C0815566
965,C0007093,C1978321
966,C0270933,C2784507
967,C0597501,C3540066
968,C3271732,C3973154
969,C1546978,C1370206
970,C0082035,C1014436
971,C0428594,C3116421
972,C0817515,C2567414
973,C3732053,C3390558
974,C0030448,C1428242
975,C2296935,C3841885
976,C3442841,C1824097
977,C1954057,C2567106
978,C0802884,C2984237
979,C0916663,C0482311
980,C0189876,C0797284
981,C3541961,C2655075
982,C1548969,C0797985
983,C0942778,C3987807
984,C1714710,C1421582
985,C0193036,C0793964
986,C1186086,C0070595
987,C1890897,C0963751
988,C2660773,C0026544
989,C0014295,C1872203
990,C2938761,C2277254
991,C0690837,C0796906
992,C0482030,C3692505
993,C3601232,C1437871
994,C1874399,C1498226
995,C3019148,C3859225
996,C1066853,C0228738
997,C3789846,C3373764
998,C0141843,C1905629
999,C1113767,C1114463
