,CUI1_T_E,CUI1_T_K,CUI1,CUI2_T_E,CUI2_T_K,CUI2,RANK,PHYSICIAN,CODER,batet,cdist,faith,jcn,lch,lesk,lesk_rank,lin,nam,path,pks,random,res,sanchez,upath,vector,vector_rank,wup,zhong,ce,ce_rank,ce_0815-011-e3,ce_0815-011-e3_rank,ce_0815-012-e5,ce_0815-012-e5_rank,ce_0815-011-e3-e,ce_0815-011-e3-e_rank,ce_0815-012-e5-e,ce_0815-012-e5-e_rank
14,Diabetes mellitus ,진성당뇨병,C0011849,Hypertension ,고혈압,C0020538,15,2,1,0.6154,0.1667,0.182,0.2319,1.8971,2227809,2,0.3079,0.1533,0.1667,0.4167,0.1264,0.9591,0.7004,0.2,0.8456,12,0.5882,0.0938,0.388206035,2,0.110614911,20,0.201362476,16,0.363747567,9,0.317385018,11
15,Acne ,여드름,C0702166,Syringe ,세척기,C0039142,16,2,1,1,-1,-1,-1,-1,2928,26,-1,-1,-1,-1,0.3009,-1,0,-1,0.6949,19,-1,-1,-0.084605664,29,0.066677719,27,0.057050027,27,0.041255143,28,0.074733824,24
16,Antibiotic ,항생제,C0003232,Allergy ,알레르기,C0020517,17,1.7,1.2,1,-1,-1,-1,-1,667818,7,-1,-1,-1,-1,0.5862,-1,0,-1,0.9034,9,-1,-1,-0.051718801,27,0.133837476,16,0.115625918,20,0.062173959,26,0.078537904,23
17,Cortisone ,코르티존(부신피질 호르몬의 일종),C0010137,Total knee replacement ,슬관절전치환술(무릎관절),C0086511,18,1.7,1,0.8519,0.0833,0.0151,0.105,1.204,4074,25,0.0297,0.1316,0.0833,0.2353,0.3726,0.146,0.2313,0.0833,0.5283,27,0.381,0.0117,0.040491186,22,0.069589987,25,0.066905722,26,0.083835632,24,0.059034973,26
18,Pulmonary embolus ,폐색전,C0034065,Myocardial infarction ,심근경색,C0027051,19,1.7,1.2,0.5333,0.1667,0.3803,0.2764,1.8971,463445,9,0.551,0.1582,0.1667,0.5,0.6565,2.2202,0.9069,0.1667,0.9231,6,0.6667,0.0938,0.177378818,12,0.177004427,15,0.1581112,18,0.359236568,10,0.321900576,10
19,Pulmonary fibrosis ,폐섬유증,C0034069,Lung cancer ,폐암,C0242379,20,1.7,1.4,1,-1,-1,-1,-1,1733308,5,-1,-1,-1,-1,0.7989,-1,0,-1,0.7731,17,-1,-1,0.192926958,10,0.25234139,11,0.314590424,7,0.353915095,11,0.357710361,8
20,Cholangiocarcinoma ,쓸개관암종,C0206698,Colonoscopy ,결장 내시술,C0009378,21,1.3,1,0.8261,0.0714,0.015,0.1045,1.0498,100490,18,0.0296,0.1279,0.0714,0.2105,0.6717,0.146,0.2756,0.0769,0.7394,18,0.3478,0.0059,0.063165165,20,0.253408164,10,0.231856778,12,0.173174873,18,0.181554064,17
21,Lymphoid hyperplasia ,림프구증식,C0333997,Laryngeal cancer ,후두암,C0007107,22,1.3,1,-1,-1,-1,-1,-1,409,27,-1,-1,-1,-1,0.1151,-1,-1,-1,0.6412,23,-1,-1,0.02603795,23,0.129287601,17,-0.011651613,30,0.056453321,27,0.05534967,27
22,Multiple sclerosis ,다발성 경화증,C0026769,Psychosis ,정신병,C0033975,23,1,1,0.7895,0.1,0.0181,0.1266,1.3863,419545,10,0.0356,0.1362,0.1,0.2667,0.762,0.146,0.341,0.125,0.8153,15,0.4211,0.0234,0.171223819,13,0.104488753,21,0.044739299,28,0.218496159,16,0.212891817,15
23,Appendicitis ,맹장염,C0003615,Osteoporosis ,골다공증,C0029456,24,1,1,0.7222,0.1111,0.1222,0.1451,1.4917,107099,16,0.2178,0.1409,0.1111,0.3333,0.2075,0.9591,0.4695,0.1429,0.8399,13,0.5,0.0312,0.161453903,14,0.019087624,29,0.069506533,25,-0.028875478,30,0.136492521,20
24,Rectal polyp ,직장폴립,C0034877,Aorta ,대동맥,C0003483,25,1,1,1,-1,-1,-1,-1,23,30,-1,-1,-1,-1,0.7664,-1,0,-1,0.104,30,-1,-1,0.078719638,18,0.071292609,24,0.022785274,29,-0.021755811,29,-0.028314535,30
25,Xerostomia ,구강건조증,C0043352,Alcoholic cirrhosis ,알콜성 간경변,C0023891,26,1,1,0.75,0.1111,0.1017,0.1181,1.4917,5768,22,0.1847,0.1409,0.1111,0.3333,0.5086,0.9591,0.415,0.1111,0.6523,21,0.5,0.0312,0.082915187,17,0.112629905,19,0.127531409,19,0.11042013,20,0.066117913,25
26,Peptic ulcer disease ,소화성 궤양,C0030920,Myopia ,근시,C0027092,27,1,1,0.6429,0.125,0.1206,0.143,1.6094,5373,23,0.2153,0.1443,0.125,0.3571,0.9861,0.9591,0.6374,0.125,0.6692,20,0.5263,0.0469,-0.096967138,30,0.029751424,28,0.089571863,22,0.109372117,21,0.020954648,29
27,Depression ,우을증,C0011581,Cellulites ,셀룰라이트,C0007642,28,1,1,0.8,0.1111,0.0168,0.117,1.4917,9379,21,0.033,0.1391,0.1111,0.2857,0.3593,0.146,0.3219,0.125,0.6284,24,0.4444,0.0312,-0.061532971,28,0.113440976,18,0.179005101,17,0.108081497,22,0.102933988,21
28,Varicose vein ,하지 정맥류,C0042345,Entire knee meniscus ,무릎 반월상 연골,C0224701,29,1,1,1,-1,-1,-1,-1,72,28,-1,-1,-1,-1,0.9824,-1,0,-1,0.3246,28,-1,-1,-0.049816702,26,0.007456382,30,0.078330204,23,0.095559917,23,0.102378674,22
29,Hyperlidpidemia ,고지혈증,C0020473,Metastasis ,전이,C0027627,30,1,1,0.6667,0.1111,0.1416,0.172,1.4917,4412,24,0.2481,0.1409,0.1111,0.3333,0.9569,0.9591,0.585,0.125,0.5315,26,0.5,0.0391,0.075898148,19,0.068121962,26,0.077514403,24,0.068935826,25,0.045491908,28
,,,,,,,,,,,,,,,,0.450945495,,,,,,,,,,0.586206897,,,,0.579977753,,0.745050056,,0.708120133,,0.766407119,,0.777975528
