,CUI1,CUI2,vector
152,C2728236,C3561355,0.0000
153,C2373984,C1041650,0.0441
154,C3317792,C1634271,0.9980
155,C1642579,C2347795,0.1021
156,C0158775,C0228084,0.4513
157,C2331029,C0156344,0.0677
158,C3471464,C0998863,0.0000
159,C2239870,C0485838,0.0703
160,C3890906,C0035552,0.8543
161,C3265004,C4011754,0.0850
162,C3616263,C3082662,0.6909
163,C1823954,C2145842,0.1033
164,C0158713,C1553238,0.0298
165,C3908060,C3981551,0.4169
166,C1114970,C0001144,0.4190
167,C0798146,C1717149,0.3277
168,C0364504,C3118416,0.1640
169,C2969994,C0943115,0.3073
170,C0942473,C0668115,0.2302
171,C3121528,C1065237,0.0000
172,C2681539,C0045839,0.0415
173,C0000399,C3539030,0.2495
174,C2454336,C3760620,0.0694
175,C1051389,C0591192,0.0040
176,C3118850,C0056633,0.2953
177,C1424599,C1903214,0.0356
178,C0334521,C2503665,0.1211
179,C1836527,C3714868,0.0912
180,C2630420,C2361620,0.0000
181,C0262701,C0128359,0.0745
182,C2718257,C1149860,0.0625
183,C3887730,C3547526,0.2219
184,C2927378,C0975684,0.2716
185,C2685064,C1612200,0.0561
186,C2925987,C1524983,0.1688
187,C0364327,C0109206,0.1031
188,C3815810,C1577343,0.0000
189,C3496625,C0054412,0.0279
190,C1818484,C2695096,0.1604
191,C0879916,C1316579,0.1308
192,C1996064,C0799038,0.3993
193,C0005600,C3341593,0.0810
194,C1524271,C1333768,0.1156
195,C1978465,C1416027,0.0793
196,C0951963,C0231051,0.0654
197,C3917275,C4034386,0.0000
198,C2815542,C0224542,0.0000
199,C3000329,C3768672,0.0439
200,C1497516,C3746675,0.0600
201,C0798416,C1703892,0.2149
202,C1315915,C3169353,0.3043
203,C0882457,C0550786,0.4591
204,C2433374,C0043124,0.3585
205,C2446121,C0945026,0.0711
206,C3887785,C1650550,0.0000
207,C3846889,C0941351,0.3252
208,C1591930,C0483820,0.0114
209,C1180608,C0482431,0.2015
210,C1502851,C1126060,0.0079
211,C1063883,C1542977,0.1217
212,C0691137,C0238463,0.5240
213,C1137112,C1539047,0.0797
214,C3894897,C0962141,0.0545
215,C0077789,C1573550,0.1656
216,C0194643,C3443233,0.0679
217,C0539369,C1539339,0.1955
218,C0734141,C1005908,0.0546
219,C0802299,C2970157,0.3188
220,C1455133,C1539338,0.5033
221,C0922688,C2447311,0.0962
222,C3146328,C0228416,0.0675
223,C0484873,C1705969,0.5484
224,C0484212,C1247078,0.2926
225,C2479168,C1184419,0.0992
226,C1572823,C2727813,0.0690
227,C3909290,C2725704,0.1117
228,C2002132,C2458210,0.0356
229,C0217772,C1952805,0.1749
230,C3865212,C2442689,0.0989
231,C0204778,C0364063,0.0418
232,C0331097,C3482004,0.3388
233,C0485802,C0980199,0.1898
234,C2308550,C3329982,0.9967
235,C2362841,C3699462,0.0632
236,C2350540,C0945566,0.0109
237,C3370957,C0482675,0.1635
238,C3761017,C3830136,0.1028
239,C0180739,C3799426,0.0095
240,C3221856,C2402309,0.0111
241,C0999743,C3809837,0.1306
242,C1709061,C3484743,0.0272
243,C1420816,C0279125,0.7598
244,C2471381,C3846932,0.0650
245,C1826325,C1977804,0.0349
246,C0280325,C1087304,0.8796
247,C2240091,C3263128,0.0705
248,C0399480,C2741330,0.0000
249,C1003968,C0059438,0.3909
250,C4042116,C1682052,0.0192
251,C2295518,C2638286,0.0479
252,C3068228,C1424981,0.0253
253,C0550194,C2361624,0.7039
254,C0551961,C3066023,0.2066
255,C0233973,C0500995,0.1124
256,C4001911,C1146994,0.2342
257,C1134547,C0927717,0.1052
258,C1947300,C0039955,0.1266
259,C2717896,C2598469,0.1042
260,C3177489,C0261175,0.0517
261,C1878266,C0282687,0.3245
262,C3255711,C0736919,0.0956
263,C3546698,C2599069,0.2019
264,C2350242,C2988576,0.0882
265,C1719073,C1818736,0.0908
266,C1566020,C1421696,0.7340
267,C1079778,C3191838,0.3022
268,C0320166,C0125575,0.4702
269,C1970411,C2281670,0.0120
270,C1460951,C0154458,0.0446
271,C0013574,C1038915,0.4897
272,C1345132,C2603603,0.1014
273,C2391256,C0520676,0.2734
274,C1420463,C3711515,0.0140
275,C3724375,C0692514,0.5695
276,C0549738,C1147954,0.2367
277,C0688689,C3812460,0.1744
278,C2951235,C2520117,0.0620
279,C3973814,C1425116,0.0468
280,C1666529,C1158513,0.0491
281,C0880315,C3026924,0.4301
282,C0205076,C0485186,0.4017
283,C1454892,C3634592,0.0138
284,C0045687,C3931172,0.0468
285,C1955926,C0230613,0.8985
286,C1525743,C0081944,0.2839
287,C2361502,C3623832,0.1292
288,C1953868,C2950054,0.2088
289,C1318824,C0879962,0.1343
290,C2372632,C0448134,0.0721
291,C1270774,C2350601,0.0922
292,C3115867,C0929731,0.4617
293,C2824752,C0772394,0.1830
294,C3641010,C1171361,0.3319
295,C0364325,C0596588,0.2676
296,C2653099,C1710076,0.0000
297,C1207431,C2424614,0.0466
298,C0476454,C0941850,0.4055
299,C0701240,C0836367,0.2284
300,C0801244,C1311867,0.4011
301,C2986115,C1915102,0.0094
302,C3223303,C3537338,0.0114
303,C2799238,C3871626,0.0498
304,C0824337,C0056839,0.1942
305,C1201536,C2687416,0.0840
306,C1081002,C1508162,0.1095
307,C2569781,C3376481,0.0495
308,C1147553,C1885913,0.2346
309,C2697670,C1557201,0.1119
310,C1461298,C3959900,0.0186
311,C2998308,C2987760,1.0000
312,C1633476,C0368066,0.5233
313,C1623618,C3002545,0.0235
314,C1419129,C3779159,0.0444
315,C3737085,C0362853,0.2850
316,C3434863,C1047213,0.0000
317,C0980176,C2278914,0.3216
318,C1508108,C1642003,0.0669
319,C1831204,C1316964,0.3484
320,C2441822,C2439912,0.9541
321,C0160084,C2728017,0.0182
322,C3547709,C3341554,0.0557
323,C0085183,C2979165,0.1090
324,C1317175,C3654930,0.4341
325,C1181964,C3894576,0.0629
326,C0823282,C0390071,0.2512
327,C0880509,C2280250,0.2869
328,C2714611,C3424666,0.0845
329,C1846108,C0800968,0.0893
330,C0162628,C1311912,0.0658
331,C2979400,C1465147,0.0000
332,C2633984,C2290052,0.0727
333,C1881980,C1094964,0.0423
334,C1708025,C2637381,0.1374
335,C3433346,C3083816,0.0328
336,C0459944,C0030372,0.3344
337,C3715287,C0945057,0.1879
338,C1869172,C2666383,0.0000
339,C1686045,C2330189,0.2869
340,C1715466,C2347133,0.3518
341,C1978620,C2970650,0.9662
342,C1079680,C2470619,0.0691
343,C1830449,C1612270,0.0407
344,C0051456,C0549672,0.0308
345,C0484941,C0803573,0.2000
346,C0678430,C2735278,0.3192
347,C0751735,C3829412,0.0010
348,C0034954,C3799561,0.1264
349,C1199106,C1326007,0.0721
350,C2496282,C1929396,0.0519
351,C2438257,C2456526,0.3225
352,C1977445,C3534814,0.0033
353,C3379725,C2562818,0.0678
354,C0926284,C1900438,0.0000
355,C2626106,C3853695,0.3177
356,C3652410,C2793514,0.0308
357,C1378314,C1918668,0.8160
358,C0938734,C3247932,0.3118
359,C3323016,C1002353,0.0180
360,C1813501,C1874079,0.1707
361,C0602971,C2351908,0.5966
362,C1464033,C4008495,0.9995
363,C0278849,C0538410,0.1591
364,C4043788,C3710225,0.0194
365,C1999336,C0347982,0.2127
366,C0002766,C3393642,0.1887
367,C1932719,C0362649,0.3056
368,C2624102,C1926166,0.9885
369,C3349814,C1933960,0.0179
370,C2718189,C3181647,0.0122
371,C1281465,C1739765,0.0474
372,C0393851,C0562547,0.1230
373,C1427417,C0482596,0.2433
374,C2559215,C1668752,0.0180
375,C3267311,C3174732,0.2076
376,C2682982,C3981660,0.0966
377,C0488311,C0334209,0.2042
378,C2530185,C0802028,0.0374
379,C1151271,C0892060,0.0941
380,C3217376,C0364796,0.0701
381,C0036488,C1624077,0.4242
382,C2949429,C0116190,0.0616
383,C1711061,C0192004,0.0685
384,C0931145,C2752745,0.2427
385,C1250658,C2295020,0.0378
386,C0075928,C3654727,0.3767
387,C1378331,C0228225,0.1665
388,C0484932,C2684189,0.0000
389,C3829127,C3828875,0.0090
390,C2708544,C1553511,0.0884
391,C1416881,C0202449,0.1939
392,C0713712,C1815578,0.0000
393,C2447922,C3918142,0.1454
394,C0991511,C1645723,0.1916
395,C2654784,C3958826,0.0656
396,C1940777,C1651659,0.0084
397,C0023779,C1546454,0.1032
398,C1958394,C0482574,0.0217
399,C0741884,C2630448,0.1045
400,C3811017,C0796944,0.0427
401,C1422446,C2361834,0.3275
402,C1952721,C0752332,0.4779
403,C0020968,C2659522,0.1139
404,C2961744,C0029421,0.2909
405,C2544230,C1647390,0.0474
406,C1467473,C0054867,0.1818
407,C0023861,C1217047,0.2465
408,C0011412,C0831762,0.3661
409,C1570923,C2939465,0.4759
410,C0362324,C2273301,0.2468
411,C1419593,C3332251,0.0430
412,C3067658,C0368175,0.1393
413,C0039597,C1162840,0.0961
414,C0814877,C1842942,0.3065
415,C2420755,C2648794,0.0340
416,C3899062,C2546084,0.0556
417,C1189392,C0012603,0.0392
418,C2274999,C1334333,0.7641
419,C0365829,C0011524,0.0563
420,C2675204,C1460403,0.0772
421,C3535696,C3315874,0.0000
422,C1056089,C2542999,0.0358
423,C3102355,C1977005,0.2207
424,C1526465,C2003673,0.3749
425,C0798803,C0802267,0.2115
426,C0751882,C2638784,0.2522
427,C2697525,C1661772,0.0279
428,C1147011,C0030306,0.5280
429,C1449043,C3537335,0.2639
430,C2404455,C1051496,0.0540
431,C3786812,C2386381,0.0000
432,C1676476,C1539733,0.3787
433,C4001173,C0871685,0.1947
434,C1260649,C0365312,0.0321
435,C2923205,C1420026,0.0309
436,C3204506,C3278176,0.1577
437,C0483169,C2715545,0.3510
438,C1508112,C1635687,0.2075
439,C0942611,C2301972,0.0308
440,C2289984,C1489578,0.0000
441,C1334410,C1625198,0.1155
442,C3263147,C1280931,0.1396
443,C2599849,C3822955,0.0426
444,C1041386,C0550091,0.2098
445,C0597979,C3442527,0.7955
446,C3699441,C0362428,0.2526
447,C0825044,C1176497,0.0401
448,C4023767,C0037507,0.2133
449,C1100696,C3615994,0.1845
450,C0036534,C1369538,0.2354
451,C3774620,C3395694,0.0180
452,C2676770,C1709320,0.0893
453,C1416001,C3834066,0.0174
454,C0485421,C0821689,0.2512
455,C0879793,C3820802,0.3577
456,C2926310,C3729784,0.1591
457,C0797943,C2546044,0.0973
458,C1309737,C1131951,0.0396
459,C0368456,C0078802,0.2587
460,C1216333,C2963082,0.1285
461,C0485555,C1096458,0.2665
462,C2448680,C3941400,0.0742
463,C1687700,C0071072,0.3827
464,C3959472,C2697532,0.3056
465,C2414642,C1927400,0.0808
466,C0978965,C3408463,0.2741
467,C2818113,C0791914,0.0233
468,C1281013,C2807046,0.7659
469,C2557705,C2441698,0.8788
470,C0006701,C3831711,0.2177
471,C0642391,C1420439,0.0997
472,C0709482,C0206682,0.6375
473,C1471886,C1561642,0.1142
474,C1739790,C3539191,0.1450
475,C1977312,C0658633,0.1200
476,C2460173,C0036647,0.1497
477,C0320458,C2791295,0.0733
478,C3078467,C0551043,0.2046
479,C0991540,C0795367,0.4116
480,C3869996,C1450170,0.1092
481,C0619364,C0485708,0.0101
482,C2449163,C0867673,0.0428
483,C0812287,C3431058,0.2780
484,C0028458,C0379557,0.8556
485,C0695225,C1031221,0.0000
486,C1329216,C1487857,0.4676
487,C0273532,C1526733,0.0368
488,C0497366,C1916200,0.0846
489,C3034178,C0975681,0.4756
490,C3497702,C0485754,0.2066
491,C1660979,C0549858,0.0817
492,C0504348,C2264433,0.1671
493,C3052914,C3136926,0.0595
494,C2586487,C3737639,0.0953
495,C3814427,C0888938,0.0033
496,C3962428,C0149069,0.1103
497,C1522449,C3887678,0.6773
498,C0058704,C3740140,0.0954
499,C1315096,C0274288,0.1051
500,C3934301,C0828113,0.0593
501,C3166566,C2272003,0.0172
502,C1710253,C0486228,0.1756
503,C1421479,C2267878,0.1803
504,C2299194,C1252487,0.0893
505,C0868427,C1367544,0.0000
506,C2604206,C0276275,0.3757
507,C0880432,C3247703,0.0213
508,C3540681,C1544004,0.0755
509,C3999621,C3442011,0.0180
510,C1454976,C0807197,0.0329
511,C0322738,C1232324,0.0180
512,C3931971,C0980012,0.5143
513,C1146745,C3107166,0.1085
514,C0076097,C3002064,0.2638
515,C0643739,C0021073,0.3658
516,C2241885,C1870824,0.1538
517,C0590688,C1705814,0.1814
518,C1539565,C3785165,0.0409
519,C1256393,C3256142,0.0869
520,C2574876,C0018801,0.2191
521,C0585098,C1332507,0.2460
522,C1634395,C2279736,0.9439
523,C1415356,C2480108,0.2137
524,C2351193,C0362876,0.0683
525,C3655016,C1945422,0.0700
526,C0803301,C3087821,0.1485
527,C1845825,C3320472,0.0536
528,C1305214,C1640471,0.3434
529,C1423388,C1200920,0.0539
530,C3737431,C1702214,0.4368
531,C3621613,C3665025,0.0204
532,C2970456,C3888429,0.0234
533,C0799192,C3823441,0.2787
534,C1037496,C1083161,0.0793
535,C0928292,C1976914,0.1973
536,C3984194,C3641117,0.1755
537,C0292198,C1147577,0.3690
538,C1324740,C3728169,0.0864
539,C0627177,C2985674,0.0896
540,C0605198,C1524979,0.0910
541,C1362220,C1826706,0.0114
542,C0155620,C0006013,0.2043
543,C3531318,C0003490,0.6857
544,C2733654,C3894111,0.1900
545,C0338508,C0936686,0.1818
546,C3929687,C0163768,0.0000
547,C2459252,C0177782,0.1408
548,C0551032,C3063979,0.1932
549,C1011385,C1308855,0.0073
550,C2828193,C0795032,0.0115
551,C1371593,C2385682,0.1209
552,C0881214,C2734430,0.4133
553,C1094369,C0041916,0.6161
554,C0398689,C0550401,0.5582
555,C0017133,C0947219,0.5392
556,C1242984,C3545765,0.0052
557,C4045415,C0812767,0.0106
558,C3448172,C0482690,0.1978
559,C3655256,C0822217,0.1300
560,C2447238,C1084712,0.0570
561,C3031214,C1568038,0.0395
562,C3897602,C0957670,0.0903
563,C2734957,C3616594,0.0519
564,C1860586,C0645611,0.0026
565,C0739345,C1288390,0.8690
566,C2414800,C0073844,0.0610
567,C2778355,C1453988,0.2349
568,C0329009,C1229929,0.0000
569,C3937690,C1538989,0.0404
570,C3192992,C0024934,0.0006
571,C0265344,C0945028,0.4853
572,C1453774,C0494018,0.0045
573,C3809450,C0065401,0.2571
574,C3943287,C1420025,0.5185
575,C0936049,C0150934,0.1921
576,C2733847,C0922641,0.2409
577,C1323455,C3668808,0.0358
578,C0206504,C3010660,0.3141
579,C1145001,C0007673,0.0486
580,C3953647,C0543133,0.1374
581,C0011750,C0941512,0.0883
582,C1169601,C1954806,0.0000
583,C1543364,C0752665,0.1399
584,C3828174,C3927233,0.2050
585,C0941776,C2499016,0.0827
586,C3825526,C0363633,0.1804
587,C2571722,C1883801,0.0468
588,C0802722,C1826700,0.0591
589,C0970937,C3740685,0.0676
590,C0941859,C2369202,0.2007
591,C0827548,C3255868,0.0303
592,C0042760,C1210948,0.0970
593,C1150957,C1342973,0.0000
594,C0223675,C1739036,0.0884
595,C1855754,C1173804,0.1288
596,C1506309,C1420328,0.1186
597,C0228349,C3487587,0.0799
598,C1824672,C2719464,0.1836
599,C1248139,C1567040,0.4453
600,C0077143,C0050709,0.0986
601,C3157007,C0068897,0.1837
602,C0323480,C1715859,0.1456
603,C3145385,C1368993,0.0000
604,C0944709,C2719981,0.3455
605,C3593634,C3066548,1.0000
606,C0285476,C0226546,0.0608
607,C3415014,C1190334,0.0390
608,C1224275,C2411688,0.0574
609,C3358435,C3172597,0.0583
610,C2483252,C1548066,0.0000
611,C2781921,C0003620,0.1305
612,C3104410,C1822936,0.2461
613,C1312313,C1530443,0.6440
614,C1413454,C3847048,0.0892
615,C0364013,C2735878,0.3006
616,C1321189,C1966489,0.3254
617,C0944808,C2924929,0.1064
618,C2314143,C3441243,0.0179
619,C1527402,C2644288,0.0301
620,C2673979,C0536869,0.2015
621,C2425205,C1424428,0.0862
622,C2369199,C0803001,0.7758
623,C0802118,C2678771,0.1513
624,C1637358,C2584300,0.2807
625,C2806868,C0152656,0.1558
626,C0688173,C0439269,0.2240
627,C0280115,C2798498,0.1089
628,C3720631,C2463214,0.0653
629,C1114910,C2695201,0.1780
630,C1451734,C1526673,0.5349
631,C3337361,C0347625,0.1212
632,C3787978,C3872306,0.0736
633,C0367971,C1644155,0.1991
634,C0483539,C1822876,0.0956
635,C2746503,C3686104,0.0647
636,C2638232,C0800440,0.0649
637,C0944637,C0135615,0.1446
638,C0083183,C0059573,0.2771
639,C0670509,C1716332,0.4942
640,C0221016,C1136077,0.1050
641,C0382379,C1210873,0.0724
642,C3948812,C3148784,0.0490
643,C1862096,C3172608,0.1827
644,C2399662,C3121920,0.0086
645,C0550448,C0037301,0.2726
646,C2288462,C0049009,0.0866
647,C2808238,C0804396,0.2815
648,C1114716,C1710439,0.2765
649,C3367138,C3779677,0.0303
650,C0038174,C1237912,0.0556
651,C1524850,C1324397,0.0311
652,C1449995,C0876674,0.1575
653,C0442058,C3989541,0.0758
654,C0368929,C0776406,0.1141
655,C1143232,C0881605,0.0557
656,C1693832,C1307326,0.0629
657,C1830061,C4003647,0.1543
658,C1813086,C1223205,0.0334
659,C0331039,C1315292,0.0632
660,C0803414,C2443861,0.0986
661,C2386773,C3401308,0.0000
662,C1508185,C1958448,0.0465
663,C0019154,C2632875,0.1343
664,C0550425,C0009829,0.1754
665,C3174293,C0488243,0.1114
666,C2454165,C1688316,0.0697
667,C2379784,C1114211,0.1809
668,C3967289,C2384664,0.0731
669,C0738995,C2936558,0.1227
670,C3407954,C0247794,0.0000
671,C0020289,C3742866,0.1296
672,C2444578,C1934467,0.0900
673,C1325595,C2733900,0.1652
674,C0023822,C1415569,0.0860
675,C0798888,C3034050,0.3171
676,C0797435,C1544589,0.8336
677,C2399468,C3899292,0.0544
678,C3482380,C0736125,0.0720
679,C1954795,C1739825,0.0000
680,C1874859,C2736429,0.7269
681,C1825559,C0757992,0.0321
682,C0815252,C0631272,0.0812
683,C3811106,C3315349,0.2490
684,C2989973,C3791570,0.0000
685,C1256739,C4010622,0.0610
686,C1160083,C1452916,0.0724
687,C0055235,C2984934,0.1602
688,C1966183,C0244742,0.1865
689,C0074612,C1626185,0.2738
690,C2240200,C1493804,0.0409
691,C0854829,C2512207,0.1137
692,C1086535,C1234544,1.0000
693,C2400815,C0023556,0.1927
694,C0964834,C1850415,0.1690
695,C1914401,C0366195,0.1703
696,C1523018,C3256117,0.1465
697,C0812462,C1564803,0.0777
698,C0831054,C0006949,0.0799
699,C0025543,C1642571,0.2349
700,C1526437,C3406327,0.0487
701,C1154977,C3147854,0.2075
702,C3263432,C0975600,0.1878
703,C0280812,C2287096,0.5754
704,C0976708,C3601949,0.1349
705,C1892680,C1909848,0.0505
706,C1570145,C1996307,0.2257
707,C2412601,C2644907,0.0640
708,C0242178,C2372652,0.0353
709,C3131601,C0032019,0.4025
710,C2996618,C0976470,0.3188
711,C0880259,C2678813,0.1907
712,C1853857,C4037878,0.1559
713,C3273395,C1831286,0.1487
714,C3001251,C3217169,0.0793
715,C3944774,C3555418,0.0836
716,C1543317,C2717018,0.0386
717,C3485511,C3827691,0.0184
718,C0045299,C0020172,0.0175
719,C3768530,C2360681,0.0893
720,C0700639,C0085441,0.5289
721,C2247290,C0293451,0.0567
722,C0647612,C2360656,0.0384
723,C3897462,C0009421,0.2211
724,C1631491,C0485620,0.2795
725,C0161071,C0187985,0.0200
726,C0797837,C3354209,0.1279
727,C3860137,C2438665,0.0492
728,C1629908,C1507429,0.3687
729,C1324809,C3428483,0.1446
730,C3816761,C1195487,0.0357
731,C3713271,C0789451,0.1531
732,C1544473,C2258471,0.1219
733,C2550438,C0009413,0.0995
734,C2764898,C0054970,0.7314
735,C0923236,C0025268,0.3237
736,C2427890,C1189068,0.0552
737,C0550561,C1643829,0.2053
738,C1438152,C1942233,0.4879
739,C1424300,C0176634,0.0878
740,C2241969,C3405582,0.1039
741,C3390531,C3972645,0.0723
742,C3314759,C1372716,0.1468
743,C0007569,C2485985,0.0426
744,C1155222,C0803445,0.1872
745,C0021619,C1544643,0.2442
746,C1524641,C0526339,0.1911
747,C0487704,C0363671,0.0410
748,C1171733,C0928192,0.0156
749,C1316623,C2932979,0.3855
750,C1180663,C0018064,0.2304
751,C0803545,C1660432,0.0941
752,C0001208,C2812101,0.0900
753,C2824481,C0025859,0.2236
754,C1120350,C2360349,0.0999
755,C0025111,C1556751,0.2771
756,C3471165,C3489546,0.0960
757,C3149964,C0162439,0.0493
758,C2808974,C0483713,0.0884
759,C0928421,C0228725,0.0788
760,C0040979,C1714482,0.5555
761,C3916822,C1830236,0.2129
762,C2360080,C3966659,0.3008
763,C1679328,C1845417,0.0349
764,C1888741,C3539953,0.0961
765,C0334488,C0689635,0.4476
766,C0063827,C0615806,0.4600
767,C2545408,C0770150,0.1994
768,C1243753,C2635899,0.0226
769,C1507777,C1288473,0.0447
770,C2406588,C3333093,0.0000
771,C0700415,C0368223,0.6855
772,C0877176,C0976746,0.2105
773,C2707983,C1476534,0.0832
774,C0456223,C3857724,0.0729
775,C0942766,C3542781,0.1153
776,C2918699,C1004973,0.0312
777,C1449652,C4020215,0.2129
778,C2677189,C0225609,0.0257
779,C0050997,C1899813,0.6257
780,C2695266,C2603829,0.1933
781,C1316333,C3486783,0.1216
782,C3184562,C2713260,0.0397
783,C3610089,C3541094,0.0151
784,C3582279,C1427820,0.0326
785,C0056198,C1076595,0.1430
786,C1518068,C0501903,0.1460
787,C0982350,C0482189,0.0243
788,C2515495,C1575137,0.0358
789,C2599311,C1924266,0.0028
790,C0798345,C3246551,0.0767
791,C2424529,C1710119,0.0803
792,C1317286,C1421037,0.2769
793,C0486014,C0051180,0.1489
794,C0044020,C0036874,0.1330
795,C1942163,C0378240,0.2464
796,C2829566,C0887016,0.2617
797,C3482175,C0012054,0.2776
798,C1640049,C0934799,0.0501
799,C1909479,C3482277,0.0614
800,C3494331,C2404418,0.1492
801,C0735073,C3563190,0.0648
802,C1040602,C0377566,0.0319
803,C1977221,C2505135,0.0957
804,C0942006,C1183180,0.0831
805,C3552008,C3900370,0.0000
806,C1316459,C0342580,0.2070
807,C1539247,C0364090,0.1622
808,C0362546,C1591237,0.2180
809,C3352378,C3545914,0.0101
810,C1001192,C0968725,0.8105
811,C0976877,C3423311,0.1701
812,C1525278,C1856704,0.2704
813,C0042961,C0751568,0.3165
814,C2541255,C1978381,0.0723
815,C2562288,C0575878,0.5070
816,C0502378,C0618113,0.3162
817,C3334034,C1853736,0.4083
818,C0027410,C0889165,0.4077
819,C2356962,C3603977,0.3077
820,C2994958,C1638468,0.1167
